,Customer,Building,BuildingType,Area,BuildingYear,Electricity2019,Electricity2020,Heating2019,Heating2020,Energy2019,Energy2020,EnergyperArea2019
330,Tranorna,Ökentrumpetare,Flerbostadshus,3372,1999,47.18137604,58.93837485,84.40658363,79.91785291,131.5879597,138.8562278,0.03902371283
209,Trappfåglarna,Örnvråk,Flerbostadshus,1785,1991,10.97778768,10.39486835,58.48907563,55.56806723,69.46686331,65.96293557,0.03891701026
260,Lommarna,Rostgumpsvala,Flerbostadshus,2646,1965,15.7634127,12.24297052,87.17668179,81.72524565,102.9400945,93.96821618,0.03890404176
263,Lommarna,Ägretthäger,Flerbostadshus,2646,1965,14.83880952,13.33834089,87.56712964,88.31443689,102.4059392,101.6527778,0.03870216899
264,Lommarna,Storskarv,Flerbostadshus,2662,1965,12.87836213,13.60834711,88.75663652,89.17918861,101.6349987,102.7875357,0.03817993939
258,Lommarna,Alpseglare,Flerbostadshus,2646,1965,16.56622071,16.60095616,82.86306367,83.0430839,99.42928438,99.64404006,0.03757720498
259,Lommarna,Ökenlöpare,Flerbostadshus,2662,1965,10.71175432,9.28283997,88.56223395,82.78249437,99.27398827,92.06533434,0.03729300837
20,Storfotshönsen,Drillsnäppa,Kontor,3220,2006,30.0309,28.95591739,88.1552795,76.97826087,118.1861795,105.9341783,0.03670378245
289,Tranorna,Orientpipare,Flerbostadshus,3168,1968,42.22476265,42.76677379,72.53231552,84.4,114.7570782,127.1667738,0.03622382518
262,Lommarna,Mindre Sångsvan,Flerbostadshus,2662,1965,12.96209993,10.1890308,83.30223958,77.55972953,96.2643395,87.74876033,0.03616241153
295,Tranorna,Vitvingad Tärna,Flerbostadshus,3664,1968,42.22476265,42.76677379,90.12149533,84.82827103,132.346258,127.5950448,0.0361207036
261,Lommarna,Beringvarfågel,Flerbostadshus,2843,1965,23.16282096,18.15992965,79.23352679,74.4354555,102.3963478,92.59538516,0.03601700589
44,Pärlhönsen,Macchiasångare,Kontor,2290,1929,31.41924454,26.535,49.63318777,44.19213974,81.05243231,70.72713974,0.03539407525
344,Simrallarna,Sjöorre,Flerbostadshus,2437,1981,19.35418178,19.87499795,66.84067521,68.52290627,86.19485699,88.39790422,0.03536924784
324,Tranorna,Dvärglärka,Flerbostadshus,3671,1966,50.1936584,43.87750477,78.28711523,61.18768728,128.4807736,105.065192,0.03499884871
327,Tranorna,Tundrasparv,Flerbostadshus,3865,2017,20.17056662,15.51694696,114.4075032,114.3283312,134.5780699,129.8452781,0.03481968172
211,Trappfåglarna,Fältpiplärka,Flerbostadshus,2048,1984,21.90933301,22.06506641,48.15917969,40.08300781,70.0685127,62.14807422,0.03421314096
224,Trappfåglarna,Gräsand/Mexikansk And,Flerbostadshus,2470,2008,22.51624899,22.91768421,60.30566802,55.72874494,82.82191701,78.64642915,0.03353114049
257,Lommarna,Saxaulsångare,Flerbostadshus,2662,1965,13.1801991,13.22810293,74.74267462,71.23966942,87.92287372,84.46777235,0.03302887818
229,Trappfåglarna,Långtåsnäppa,Flerbostadshus,2894,null,0.2060988252,0.1714174153,95.20165919,16.47143807,95.40775801,16.64285548,0.03296743539
78,Trappfåglarna,Kärrsnäppa,Kontor,1988,1943,10.63184909,10.62186821,54.81740443,53.60110664,65.44925352,64.22297485,0.03292215972
42,Pärlhönsen,Tajgablåstjärt,Kontor,2877,1980,48.84948905,46.90007647,45.00173792,37.89363921,93.85122697,84.79371568,0.03262121202
71,Fasanfåglarna,Tretåig Hackspett,Kontor,2010,1929,7.482318408,6.901432836,57.34104229,60.04254229,64.8233607,66.94397512,0.03225042821
282,Lommarna,Fjällripa,Flerbostadshus,1158,2019,37.34303972,11.96873921,0,0,37.34303972,11.96873921,0.03224787541
208,Trappfåglarna,Brunand,Flerbostadshus,1876,1932,6.374432302,6.78603678,52.49093817,56.18923241,58.86537047,62.97526919,0.03137812925
139,Ralltranorna,Prutgås,Kontor,1747,1989,9.76080724,15.80121869,44.34630796,51.25702205,54.1071152,67.05824073,0.03097144545
354,Simrallarna,Skatgök,Flerbostadshus,2458,1982,18.16883645,18.75549227,57.93923802,53.60927233,76.10807447,72.3647646,0.03096341516
