"","Customer","Building","BuildingType","Area","BuildingYear","Electricity2019","Electricity2020","Heating2019","Heating2020"
"1","Värnfåglarna","Sibirisk Tundrapipare","Kontor","2265","null",7.71390728476821,2.97897172980131,44.7275938189845,36.1163754975717
"2","Värnfåglarna","Bläsgås","Kontor","16114","null",45.4940548617969,27.0540399652477,53.3280997890034,42.3404609762317
"3","Värnfåglarna","Storlabb","Kontor","5519","1966",22.164350065048,16.7576271063599,84.5982967928973,66.7249501721326
"4","Värnfåglarna","Alpkaja","Kontor","3312","null",5.59413949275363,6.55099335748793,61.1422101449275,54.7007850241546
"5","Värnfåglarna","Fältsångare","Kontor","3839","null",15.441572806981,16.3957673873405,70.4787705131545,52.0494920552227
"6","Värnfåglarna","Rödspov","Kontor","6400","1988",32.1236874967187,34.7089375,68.7641098023437,60.0065801328125
"7","Värnfåglarna","Ringnäbbad Mås","Kontor","5517","null",23.018075040783,24.2226699293092,65.1676635852819,46.4944716331339
"8","Värnfåglarna","Fjällabb","Kontor","21816","null",22.6940594059406,26.8967363403007,21.0180143014301,23.8531811514485
"9","Värnfåglarna","Kornknarr","Kontor","3458","null",17.1088490456911,16.8155581260845,40.2466743782533,31.8155205769231
"10","Värnfåglarna","Smutsgam","Kontor","3776","null",13.4914194915254,9.4646186440678,72.0280720338983,43.7976458350106
"11","Värnfåglarna","Dvärgsångare","Kontor","6633","null",22.0732700135685,19.1156942559928,57.4341926729986,44.5303251456354
"12","Skatgässen","Ejder","Kontor","16700","1931",92.5615389224551,82.9116407185629,30.888622754491,28.9640718562874
"13","Skatgässen","Korttålärka","Kontor","8856","2017",11.8227966915086,10.4475844996612,22.8500451671183,19.2671635049684
"14","Änderna","Vitkindad Gås","Kontor","5385","null",1.10510157845868,0.471857195914579,25.736304549675,30.6629526462396
"15","Änderna","Sånglärka","Kontor","4118","null",21.6046041767848,21.6674599320058,52.7829043224866,59.7401651287033
"16","Änderna","Svartvit Flugsnappare","Kontor","4091","null",26.1688808531736,25.0147662263506,43.906459044162,37.4396791955512
"17","Änderna","Gulbrynad Sparv","Kontor","7330","null",32.0835825375171,31.8448622100955,32.1542974079127,37.0175989085948
"18","Änderna","Eleonorafalk","Kontor","15777","null",152.950877860176,144.275030867719,41.0407555302022,39.0188248716486
"19","Storfotshönsen","Wilsonbeckasin","Kontor","10024","2008",31.1383479648843,24.7693934557063,54.7406225059856,49.3286113328013
"20","Storfotshönsen","Drillsnäppa","Kontor","3220","2006",30.0309000006211,28.9559173913044,88.1552795031056,76.9782608695652
"21","Storfotshönsen","Knölsvan","Kontor","5335","2004",35.2864948453608,36.3602999062793,0,0
"22","Storfotshönsen","Dammsnäppa","Kontor","16636","2010",84.4731695913265,67.3302412251142,28.9956119259437,19.9613488819428
"23","Storfotshönsen","Piparsnäppa","Kontor","17909","2009",11.5152493164331,11.0441215031548,64.6189066949578,58.5331397621308
"24","Storfotshönsen","Styltlöpare","Kontor","6529","null",17.9131645833972,24.0944650762751,41.8549147504978,31.4566968327462
"25","Storfotshönsen","Ringduva","Kontor","10400","null",57.0858958065384,57.4990380798078,97.3903846153846,78.9951923076923
"26","Storfotshönsen","Sidensvans","Kontor","9380","null",25.2594879217484,24.7606933689765,30.0043469122601,27.0706709434968
"27","Storfotshönsen","Skrikstrandpipare","Kontor","9300","null",11.3826883005376,12.802036834086,51.6792688172043,40.2950107580645
"28","Trädhönsen","Brun Törnskata","Kontor","1588","1922",11.370298488665,13.0601788413099,78.5768261964735,70.6240554156171
"29","Trädhönsen","Vitvingad Lärka","Kontor","4056","1922",22.3859127218935,22.1953846153846,76.0108481262327,66.9844674556213
"30","Trädhönsen","Mindre Flugsnappare","Kontor","6000","1922",24.1141245,23.7683409999999,59.0791666666667,52.9866666666667
"31","Trädhönsen","Havstrut","Kontor","3286","1922",11.2283554473524,14.7124303104078,62.1871576384662,63.2979306147292
"32","Trädhönsen","Kaja","Kontor","600","1922",32.35296,26.9575,101.113333333333,80.335
"33","Trädhönsen","Vitstrupig Näktergal","Kontor","1392","1922",16.6146480272988,19.9669540229885,74.2629310344828,69.3994252873563
"34","Trädhönsen","Brokig Kardinal","Kontor","3240","1922",10.4268203703704,10.4456796296296,78.6012345679012,68.879012345679
"35","Trädhönsen","Flodsångare","Kontor","16132","2001",29.6273344904538,29.7862434911977,76.0305603768906,77.3933796181503
"36","Trädhönsen","Bändelkorsnäbb","Kontor","548","1922",40.9964313047445,37.3521897810219,73.9653284671533,72.3430656934307
"37","Trädhönsen","Medelhavsstenskvätta","Kontor","420","1922",51.6026593690476,75.6880952380952,106.061904761905,103.507142857143
"38","Trädhönsen","Grågam","Kontor","5030","1922",46.3851769383698,53.1641510934394,98.2318091451292,86.9264413518887
"39","Trädhönsen","Mongolpiplärka","Kontor","7772","1922",9.21456253216675,8.3342408646423,39.458697889861,32.5250900669068
"40","Trädhönsen","Domherre","Kontor","3002","1922",27.0362425049967,23.8405196535642,126.119586942039,114.139240506329
"41","Trädhönsen","Bergfink","Kontor","239","1922",56.6407859790795,57.3891213389121,152.63179916318,141.213389121339
"42","Pärlhönsen","Tajgablåstjärt","Kontor","2877","1980",48.8494890510949,46.9000764685435,45.001737921446,37.8936392075078
"43","Pärlhönsen","Grön Biätare","Kontor","2677","1929",49.2245573403063,48.8279417258123,57.8446021666045,62.1180425849832
"44","Pärlhönsen","Macchiasångare","Kontor","2290","1929",31.4192445419214,26.535,49.6331877729258,44.1921397379913
